record_id,timestamp,motor_id,rpm,temperature_c,vibration_mm_s,current_a,fault_label,severity,work_order,maintenance_report,model,temperature,top_p,prompt_template,validation_status
1,2026-01-01T00:00:00,MTR-1000,1656,46.6,4.31,32.9,Operação normal,baixa,WO-20260000,"Inspeção do motor MTR-1000: temperatura 46.6°C, vibração 4.31 mm/s, corrente 32.9 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",gemma-2-9b-it,0.2,0.95,zero_shot_diag_v1,aprovado
2,2026-01-01T06:00:00,MTR-1001,2928,47.1,2.26,33.6,Operação normal,baixa,WO-20260001,"Inspeção do motor MTR-1001: temperatura 47.1°C, vibração 2.26 mm/s, corrente 33.6 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",gemma-2-9b-it,0.2,0.95,few_shot_os_v2,aprovado
3,2026-01-01T12:00:00,MTR-1002,3432,72.3,6.28,37.3,Operação normal,baixa,WO-20260002,"Inspeção do motor MTR-1002: temperatura 72.3°C, vibração 6.28 mm/s, corrente 37.3 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",gpt-4.1-mini,0.2,0.95,roleplay_engineer_v1,aprovado
4,2026-01-01T18:00:00,MTR-1003,2593,63.1,3.63,76.1,Operação normal,baixa,WO-20260003,"Inspeção do motor MTR-1003: temperatura 63.1°C, vibração 3.63 mm/s, corrente 76.1 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",gpt-4.1-mini,0.2,0.9,zero_shot_diag_v1,aprovado
5,2026-01-02T00:00:00,MTR-1004,2670,100.1,8.02,79.6,Sobreaquecimento com desalinhamento,alta,WO-20260004,"Inspeção do motor MTR-1004: temperatura 100.1°C, vibração 8.02 mm/s, corrente 79.6 A. Diagnóstico: Sobreaquecimento com desalinhamento. Ação recomendada: realinhar e lubrificar.",gemma-2-9b-it,0.4,0.95,zero_shot_diag_v1,aprovado
6,2026-01-02T06:00:00,MTR-1005,2750,50.1,4.51,65.3,Operação normal,baixa,WO-20260005,"Inspeção do motor MTR-1005: temperatura 50.1°C, vibração 4.51 mm/s, corrente 65.3 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",llama-3.1-8b-instruct,0.7,0.85,zero_shot_diag_v1,aprovado
7,2026-01-02T12:00:00,MTR-1006,1387,88.0,9.94,93.8,Sobrecorrente por atrito mecânico,alta,WO-20260006,"Inspeção do motor MTR-1006: temperatura 88.0°C, vibração 9.94 mm/s, corrente 93.8 A. Diagnóstico: Sobrecorrente por atrito mecânico. Ação recomendada: realinhar e lubrificar.",gpt-4.1-mini,0.2,0.9,cot_analysis_v1,aprovado
8,2026-01-02T18:00:00,MTR-1007,2694,55.6,5.21,68.6,Operação normal,baixa,WO-20260007,"Inspeção do motor MTR-1007: temperatura 55.6°C, vibração 5.21 mm/s, corrente 68.6 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",gemma-2-9b-it,0.7,0.95,zero_shot_diag_v1,aprovado
9,2026-01-03T00:00:00,MTR-1008,1900,79.7,3.97,52.0,Operação normal,baixa,WO-20260008,"Inspeção do motor MTR-1008: temperatura 79.7°C, vibração 3.97 mm/s, corrente 52.0 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",llama-3.1-8b-instruct,0.7,0.95,few_shot_os_v2,aprovado
10,2026-01-03T06:00:00,MTR-1009,2528,99.8,9.97,33.3,Sobreaquecimento com desalinhamento,alta,WO-20260009,"Inspeção do motor MTR-1009: temperatura 99.8°C, vibração 9.97 mm/s, corrente 33.3 A. Diagnóstico: Sobreaquecimento com desalinhamento. Ação recomendada: realinhar e lubrificar.",gpt-4.1-mini,0.4,0.9,cot_analysis_v1,aprovado
11,2026-01-03T12:00:00,MTR-1010,3523,102.0,4.76,67.4,Operação normal,baixa,WO-20260010,"Inspeção do motor MTR-1010: temperatura 102.0°C, vibração 4.76 mm/s, corrente 67.4 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",llama-3.1-8b-instruct,0.7,0.9,few_shot_os_v2,aprovado
12,2026-01-03T18:00:00,MTR-1011,2284,54.1,9.62,58.1,Operação normal,baixa,WO-20260011,"Inspeção do motor MTR-1011: temperatura 54.1°C, vibração 9.62 mm/s, corrente 58.1 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",gemma-2-9b-it,0.7,0.9,roleplay_engineer_v1,aprovado
13,2026-01-04T00:00:00,MTR-1012,2682,59.3,12.47,55.8,Desbalanceamento de rotor,alta,WO-20260012,"Inspeção do motor MTR-1012: temperatura 59.3°C, vibração 12.47 mm/s, corrente 55.8 A. Diagnóstico: Desbalanceamento de rotor. Ação recomendada: realinhar e lubrificar.",gpt-4.1-mini,0.2,0.85,few_shot_os_v2,aprovado
14,2026-01-04T06:00:00,MTR-1013,2929,83.8,5.55,62.7,Operação normal,baixa,WO-20260013,"Inspeção do motor MTR-1013: temperatura 83.8°C, vibração 5.55 mm/s, corrente 62.7 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",llama-3.1-8b-instruct,0.7,0.9,zero_shot_diag_v1,aprovado
15,2026-01-04T12:00:00,MTR-1014,1669,89.3,7.27,36.3,Operação normal,baixa,WO-20260014,"Inspeção do motor MTR-1014: temperatura 89.3°C, vibração 7.27 mm/s, corrente 36.3 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",gemma-2-9b-it,0.4,0.85,cot_analysis_v1,aprovado
16,2026-01-04T18:00:00,MTR-1015,2980,55.3,1.24,72.8,Operação normal,baixa,WO-20260015,"Inspeção do motor MTR-1015: temperatura 55.3°C, vibração 1.24 mm/s, corrente 72.8 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",gemma-2-9b-it,0.4,0.95,few_shot_os_v2,aprovado
17,2026-01-05T00:00:00,MTR-1016,3279,104.3,11.04,38.9,Sobreaquecimento com desalinhamento,alta,WO-20260016,"Inspeção do motor MTR-1016: temperatura 104.3°C, vibração 11.04 mm/s, corrente 38.9 A. Diagnóstico: Sobreaquecimento com desalinhamento. Ação recomendada: realinhar e lubrificar.",gemma-2-9b-it,0.7,0.95,few_shot_os_v2,aprovado
18,2026-01-05T06:00:00,MTR-1017,1861,80.1,10.0,57.4,Operação normal,baixa,WO-20260017,"Inspeção do motor MTR-1017: temperatura 80.1°C, vibração 10.0 mm/s, corrente 57.4 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",gpt-4.1-mini,0.7,0.9,roleplay_engineer_v1,aprovado
